软件工程师,job_id,job_count,job_name,tier2
661,1250,550,电子/电器维修,
662,1348,548,系统测试,
663,1367,548,给排水/制冷/暖通,
664,460,546,商务专员,
665,110,546,产品运营,
666,182,546,促销员,
667,591,544,客户关系管理,
668,874,543,护理主任/护士长,
669,1140,543,焊工,
670,311,542,前厅接待/礼仪/迎宾,
671,938,539,文科教师,
672,67,533,中医科医生,
673,445,532,品牌专员/助理,
674,1806,532,预订员,
675,1382,531,综合门诊/全科医生,
676,1380,531,综合布线/弱电,
677,1645,531,车间主任,
678,1559,531,计调,
679,543,531,大数据开发/分析,
680,1622,530,质量管理/验货员(QA/QC),
681,1600,528,财务分析员,
682,269,527,养殖人员,
683,851,526,技术专员/助理,
684,1546,526,规划与设计,
685,804,525,成本会计,
686,1795,523,项目总监,
687,1448,522,美容顾问,
688,1794,521,项目工程师,
689,364,520,医疗器械生产/质量管理,
690,993,520,机械结构工程师,
691,862,520,投资/基金项目经理,
692,592,520,客户关系经理/主管,
693,853,519,技术总监/经理,
694,1393,518,网店客服,
695,1447,518,美容美发其他,
696,1187,517,环保检测,
697,196,516,保险业务管理,
698,43,516,UI设计师/顾问,
699,486,515,图书管理员/资料管理员,
700,995,513,机械设备工程师,
701,1018,513,模具工,
702,1016,511,楼面管理,
703,1171,510,物流经理,
704,1209,508,理赔专员/顾问,
705,674,508,工艺工程师,
706,83,508,二手车评估师,
707,1750,508,销售数据分析,
708,635,507,导演/编导,
709,407,506,厨师助理/学徒,
710,339,504,化学分析测试员,
711,582,503,宠物美容/护理,
712,722,500,广告创意/设计师,
713,439,500,咨询经理,
714,835,496,房地产项目开发报建,
715,528,493,外贸经理/主管,
716,1818,491,食品/饮料研发,
717,1518,487,融资经理/融资主管,
718,837,487,房地产项目策划专员/助理,
719,52,487,专科医生,
720,748,486,店面/展览/展示/陈列设计,
721,146,485,企业秘书/董事会秘书,
722,1467,482,自动控制工程师/技术员,
723,157,480,会展策划/设计,
724,1279,479,电脑操作员/打字员,
725,183,478,促销员/导购,
726,1189,478,环境/健康/安全工程师（EHS）,
727,1010,478,样衣工,
728,371,475,医疗器械销售经理/主管,
729,82,474,买手,
730,450,474,品类管理,
731,842,471,手机维修,
732,766,471,建筑设计师/制图师,
733,86,470,互联网产品专员/助理,
734,976,469,服装/纺织品设计,
735,1154,468,物业管理其他,
736,713,467,平面设计经理/主管,
737,489,462,土木/土建工程师,
